"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Issia globulifera (Senoma globulifera)",1983,"Anopheles maculipennis",,,,,,3.6,2.4,10.85734421,"egg-shaped",,,,,,,,,,,,"Issi IV, Pankova TF. Novyĭ vid mikrosporidii Issia globulifera sp. n. (Nosematidae) maliariĭnogo komara Anopheles maculipennis [New species of microsporidian Issia globulifera sp. n. (Nosematidae) in the malarial mosquito Anopheles maculipennis]. Parazitologiia. 1983;17(3):189‐194."
,"Janacekia adipophila",1992,"Ptychoptera paludosa",,,"larva","adipose tissue","horizontal","16.5 (fixed and stained)","6.7 (fixed and stained)","387.821759104026 (fixed and stained)","oval; blunt ends","Sweden (Scania, the small river Vege A, at Knutstorp)",1,"235 (max)",,,"263.108384738145 (fixed and stained)","12 - 13",12.5,,,,"Larsson JIR. The Light and Electron Microscopic Cytology of Janacekia adipophila N. Sp. (Microspora, Tuzetiidae), a Microsporidian Parasite of Ptychoptera paludosa (Diptera, Ptychopteridae). J Protozool. 1992;39:432–40."
,"Janacekia costata",1990,"Odagnia ferganica; Tetisimulium desertorum",,,"larva","fat body; systemic infection",,5.9,4.35,58.4560072,"oval","Uzbekistan",1,,,,,,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Janacekia cristula",1988,"Wilhemia mediterranea; Wilhelmia salopiensis",,,"larva","fat body; Malpighian tubules","horizontal",6.55,4.95,84.03308744,"broadly oval","Uzbekistan (Bukharskiy Oasis)",1,"50 (max)",,,,,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Janacekia wilhelmiae",1988,"Wilhemia mediterranea; Wilhelmia salopiensis",,,,"fat body; intestines","horizontal",4.35,3.1,21.88826142,"egg-shaped","Uzbekistan (Bukharskiy Oasis)",1,,,,77.91149781,,8,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Jirovecia involuta",1989,"Limnodrilus hoffmeisteri",,,,,,"17.35(fresh); 16.15(stained)","2.3(fresh); 1.65(stained)","48.0566810225753 (fresh)","cylindrical","Sweden",1,,,,,,,,,,"Larsson, J.I.Ronny. “Light and Electron Microscope Studies on Jirovecia Involuta Sp. Nov. (Microspora, Bacillidiidae), a New Microsporidian Parasite of Oligochaetes in Sweden.” European Journal of Protistology 25, no. 2 (October 1989): 172–81. https://doi.org/10.1016/S0932-4739(89)80028-8."
,"Johenrea locustae","1996; 2008","Locusta migratoria capito","Locusta migratoria migratorioides; Schistocerca gregaria",,"adult; nymph","fat body; adipose tissue; hemocoel; body wall; digestive tract (primary infection site)","both","8.3 ± 0.04 (fresh); 6.9 ± 0.07 (fixed)","3.8 ± 0.04 (fresh); 4.2 ± 0.05 (fixed)","62.7543604530073 (fresh)","elognate ovoid; slightly curved (rarely)","Madagascar (Ambalavenoka)",1,,,,"143.256625003695 (fresh)",,12,,,,"1. Lange CE, Becnel JJ, Razafindratiana E, Przybyszewski J, Razafindrafara H. Johenrea locustae n.g., n.sp. (Microspora: Glugeidae): A Pathogen of Migratory Locusts (Orthoptera: Acrididae: Oedipodinae) from Madagascar. Journal of Invertebrate Pathology. 1996;68:28–40.
 2. Maniania NK, Vaughan LJ, Ouna E. Susceptibility of immature stages of the locusts Schistocerca gregaria and Locusta migratoria migratorioides to the microsporidium Johenrea locustae and effects of infection on feeding and fertility in the laboratory. Biocontrol Science and Technology. 2008;18:913–20."
,"Kabataia arthuri (= Microsporidium arthuri)","1990; 1999","Pangasius sutchi",,,,"trunk muscles","horizontal","3.1 (fresh)","2.1 (fresh)","7.15811886120434 (fresh)","oviform; ellipsoidal; slightly curved; subspherical; anteriorly tapered","Thailand (Bangkok); South East Asia","1 (unclear if uninuc/binuc spores different sizes); 2 (rare, unclear if uninuc/binuc spores different sizes)",,,,"32.9867228626928 (fresh)",,5,,,,"1. Lom J, Dykova I, Shaharom F. Microsporidium arthuri n, sp., parasite of Pangasius sutchi (Pangasiidae, Siluroidea) in South-East Asia. Dis Aquat Org. 1990;8:65–7.
 2. Lom J, Dyková I, Tonguthai K. Kabataia gen. n., a new genus proposed for Microsporidium spp. infecting trunk muscles of fishes. Dis Aquat Org. 1999;38:39–46."
,"Kabatana newberryi",2007,"Eucyclogobius newberryi",,,,"muscle","horizontal","2.8 ± 0.3 um","1.9 ± 0.4 um",5.292536424,"oval","USA (CA)",1,,,,56.7057474,2022-09-10,9.5,"EF202572",,,"1. McGourty KR, Kinziger AP, Hendrickson GL, Goldsmith GH, Casal G, Azevedo C. A New Microsporidian Infecting the Musculature of the Endangered Tidewater Goby (Gobiidae). J Parasitol. [The American Society of Parasitologists, Allen Press]; 2007;93:655–60."
,"Kabatana rondoni",2010,"Gymnorhamphichthys rondoni",,,,"Skeletal muscle of intestine","horizontal","4.25 ± 0.38",2.37,12.49925834,"Lightly pyriform to ellipsoidal","Amazon River",1,,,,70.7329586,"9-10 (rarely 8)",9.5,"FJ843105",,,"1. Casal G, Matos E, Teles-Grilo L, Azevedo C. ULTRASTRUCTURAL AND MOLECULAR CHARACTERIZATION OF A NEW MICROSPORIDIUM PARASITE FROM THE AMAZONIAN FISH, GYMNORHAMPHICHTHYS RONDONI (RHAMPHICHTHYIDAE). The Journal of Parasitology. [The American Society of Parasitologists, Allen Press]; 2010;96:1155–63."
,"Kabatana takedai",1974,"Oncorhynchus masou",,,,"skeletal muscle; heart","horizontal",3.3,1.9,6.237632214,"ovoid; elongated oval","Japan",,,,,,,,,,,"Lom, J, F Nilsen, and S Urawa. “Redescription of Microsporidium Takedai (Awakura, 1974) as Kabatana Takedai (Awakura, 1974) Comb. n.” Diseases of Aquatic Organisms 44 (2001): 223–230. https://doi.org/10.3354/dao044223."
,"Kinorhynchospora japonica",1991,"Kinorhynchus yushini",,,,"mid-intestinal epithelium","horizontal",,,,,"Sea of Japan",,,,,,,,,,,"Adrianov A, Rybakov V. OF KINORHYNCHUS-YUSHINI (HOMALORHAGIDA, PYCHOPHYIDAE) FROM THE SEA OF JAPAN. ZOOLOGICHESKY ZHURNAL. 1991;70:5–11."
,"Kneallhazia carolinensae",2011,"Solenopsis carolinensis",,,,"Fat body","horizontal","6.2 ± 0.1 (fresh)",3.1,"31.1970622476978 (fresh)","ovoid","USA",2,,,,131.4756526,2022-12-15,13.5,"GU173849",,,"Valles SM, Becnel JJ, Pereira RM. Kneallhazia carolinensae sp. nov., a microsporidian pathogen of the thief ant, Solenopsis carolinensis. Journal of Invertebrate Pathology. Elsevier; 2011;108:59–62."
,"Kneallhazia solenopsae","1977; 1998; 1996","Solenopsis invicta; Solenopsis richteri",,,"adult (workers, queens, males); larva (only vegetative stages found); pupa (only vegetative stages found); all stages","fat body; ovary (of queens)","both","4.93 -+ 0.58 (free spores, fresh); 3.32 -+ 0.48 (octospores, fresh); 3.72 ± 0.05 (meiospores, stained)","1.85 -+ 0.16 (free spores, fresh); 1.95 -+ 0.2 (octospores, fresh); 2.01 ± 0.02 (meiospores, stained)","8.83464287076193 (free spores, fresh); 6.6100680227856 (octospores, fresh); 7.86925605745623 (meiospores, stained)","pyriform (octospores); oval (free spores)","U.S.A (Florida); Brazil; Argentina (Salladilo, Buenos Aires)","2 (free spores); 1 (octospores)",,,,"58.1194640914112 (free spores, fresh); 61.261056745001 (octospores, fresh)","9 - 11 (octospores, free spores)","10 (free spores); 10 (octospores)","AF031538",,,"1. Knell JD, Allen GE. Light and electron microscope study of Thelohania solenopsae n. sp. (Microsporida: Protozoa) in the red imported fire ant, Solenopsis invicta. J Invertebr Pathol. 1977;29:192–200.
 2. Williams DF, Knue GJ, Becnel JJ. Discovery of Thelohania solenopsae from the Red Imported Fire Ant,Solenopsis invicta, in the United States. Journal of Invertebrate Pathology. 1998;71:175–6
 3. Briano JA, Patterson RS, Becnel JJ, Cordo HA. The Black Imported Fire Ant,Solenopsis richteri, Infected withThelohania solenopsae: Intracolonial Prevalence of Infection and Evidence for Transovarial Transmission. Journal of Invertebrate Pathology. 1996;67:178–9."
,"Krishtalia pipiens",1997,"Culex pipiens pipiens; Culex theileri",,"freshwater","larva (of C. p. pipiens); imago (of C. p. pipiens)","fat body (C. p. pipiens larva); body cavity (C. p. pipiens imago)","horizontal","5.5 (1N spores, live); 7.6 (macrospores); 6.3 (2N spores, live)","2.3 (1N spores, live); 2.5 (macrospores); 2.5 (2N spores, live)","15.2341063760325 (1N spores, live); 24.8709418409192 (macrospores); 20.616701789183 (2N spores, live)",,"Ukraine (River Siberezh); Crimea","1 (1N spores); 2 (2N spores)",45,30,"37.5 (1N spores)","68.643799480937 (1N spores, live); 78.5398163397448 (2N spores, live)","9 - 10 coils (1N spores); 8 - 12 coils (2N spores)","9.5 (1N spores); 10 (2N spores)",,,,"1. Sokolova Y, Issi IV, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistiol. 2018;12:12–37."
,"Kudoa islandica",2016,"Cyclopterus lumpus",,,,,,,,,,"Norway",,,,,,,,,,,"Alarcón M, Thoen E, Poppe TT, Bornø G, Mohammad SN, Hansen H. Co‐infection of Nucleospora cyclopteri (Microsporidia) and Kudoa islandica (Myxozoa) in farmed lumpfish, Cyclopterus lumpus L., in Norway: a case report. Journal of Fish Diseases. Wiley; 2016;39:411–8."
,"Lanatospora bosminae",1986,"Bosmina obtusirostris; Bosmina longirostris; Bosmina coregoni",,,,"Ovaries","horizontal","3.25 (fixed)","1.85 (fixed)","5.82405463082683 (fixed)","Pyriform","Russia",1,,,,"29.0597320457056 (fixed)",5,5,,,,
,"Lanatospora costata",2016,"Megacyclops viridis",,,,"adipose; connective tissue cells","horizontal","4.7 (fresh)",2.7,"17.9400648483245 (fresh)","egg-shaped","(town Přerov nad Labem, Central Bohemia Region) Czech Republic",1,,,,72.0995514,2022-08-09,8.5,"KX832080",,,"Jiří VÁVRA, Miroslav HYLIŠ, Ivan FIALA, Dominik REFARDT. J. I. Ronny LARSSON. Microsporidia in a Woodland Pool I. Lanatospora costata sp. n. (Opisthosporidia, Microsporidia), Parasite of Megacyclops viridis (Crustacea, Copepoda): Fine Structure and Molecular Phylogeny. Acta Protozool. 55:269–80."
,"Lanatospora tubulifera",1995,"Acanthocyclops vernalis",,,,"connective tissue (between muscle strands and beneath hypodermis)","horizontal","3.75 (fixed and stained)","2 (fixed and stained)","7.85398163397448 (fixed and stained)","pyriform","Sweden (Sandby mosse, Scania)",1,,,,"50.2654824574367 (fixed and stained)","7 - 9",8,,,,"Bronnvall A, Ronny Larsson JI. Description of Lanatospora tubulifera sp. n. (Microspora, Tuzetiidae) with Emended Diagnosis and New Systematic Position for the Genus Lanatospora. Arch Protistenkd. 1995;146:69–78."
,"Larssonia hiberna",2002,"Daphnia magna (females)",,,,"adipose tissue; hemocoel","horizontal","3.8 -+ 0.1 (live); 3.2 -+ 0.2 (stained); 5.75 (macrospores)","2 -+ 0.2 (live); 2.5 -+ 0.2 (stained); 2.55 (macrospores)","7.95870138909414 (live); 19.5770309703856 (macrospores)","pyriform; ovoid","Ukraine","1 (live); 2 (macrospores)",,,,"53.4070751110265 (live)","8 - 9 (live)","8.5 (live)",,,,"1. Kilochitskii PY, Ovcharenko NA, Polkovenko OV, Shostak LV. Microsporidia of Branchiopods from the Northern regions of Ukraine. Hydrobiol J. 2002;38:65–76."
,"Larssoniella duplicati",2006,"Ips duplicatus",,,,"midgut; muscle; Malphigian; ovarian","both","3.25 um (c1, fresh); 3.25 um (c1, fixed); 2.25 um (c2, fixed); 4.5 um (c3, fixed)","2.25 um (c1, fresh); 1.75 um (c1, fixed); 1.5 um (c2, fixed); 2.25 um (c3, fixed)","8.61483610476576 (c1, fresh); 2.65071880146639 (c2, fixed); 11.9282346065987 (c3, fixed)","broad oval (c1, c2, c3)","Czech Republic","1 (c1); 1 (c2); 1 (c3)",,,,"45.9457925587507 (c1, fresh); 30.6305283725005 (c2, fixed); 45.9457925587507 (c3, fixed)","6-7 (c1, c2, c3)","6.5 (c1); 6.5 (c2); 6.5 (c3)",,,,"1. Weiser J, Holuša J, Žižka Z. Larssoniella duplicati n.sp. (Microsporidia, Unikaryonidae), a newly described pathogen infecting the double-spined spruce bark beetle, Ips duplicatus (Coleoptera, Scolytidae) in the Czech Republic. J Pest Sci. 2006;79:127–35."
,"Larssoniella resinellae",1997,"Petrova resinella",,,"adult; larva; pupa","silk glands (primary infection site); Malpighian tubules; fat body; gonads (pupa and adult); egg","both","4.75 (fresh)","1.85 (fresh)","8.5120798450546 (fresh)","tubular; long oval","Czech Republic (Prague; Trebon)",1,,,,"61.0254372959817 (fresh)","10 - 11",10.5,,,,"Weiser J, David L. A light and electron microscopic study of Larssoniella resinellae n. gen., n. sp. (Microspora, Unikaryonidae), a Parasite of Petrova resinella (Lepidoptera, Tortricidae) in Central Europe. Archiv für Protistenkunde. 1997;147:405–10."
,"Liebermannia covasacrae",2009,"Covasacris pallidinota",,,,"epithelium; salivary gland","horizontal","2.6 ± 0.28 um (fresh)","1.4 ± 0.12 um (fresh)","2.66825936044893 (fresh)","ovocylindrical","Argentina",1,,,,"17.5929188601028 (fresh)",2022-03-05,4,"EU709818",,,"1. Sokolova YY, Lange CE, Mariottini Y, Fuxa JR. Morphology and taxonomy of the microsporidium Liebermannia covasacrae n. sp. from the grasshopper Covasacris pallidinota (Orthoptera, Acrididae). J Invertebr Pathol. Elsevier; 2009;101:34–42."
,"Liebermannia patagonica",2006,"Tristira magellanica",,,,"epithelium","horizontal","2.9 ± 0.09 um (fresh)","1.2 ± 0.04 um (fresh)","2.1865484868985 (fresh)","ovocylindrical","Argentina",2,,,,"11.3097335529233 (fresh)",3,3,"DQ239917",,,"1. Sokolova YY, Lange CE, Fuxa JR. Development, ultrastructure, natural occurrence, and molecular characterization of Liebermannia patagonica n. g., n. sp., a microsporidian parasite of the grasshopper Tristira magellanica (Orthoptera: Tristiridae). J Invertebr Pathol. Elsevier Science; 2006;91:168–82."
,"Liebermannia sp. [unknown]",2019,"Chorthippus loratus",,,,,,"2.6 ± 0.04 (fresh)",1.2,"1.96035381584003 (fresh)","ovocylindrical","Russia",,,,,,,,,,,"Ignatieva AN, Gerus AV, Senderskiy IV, Malysh SM, Dolzhenko VI, Tokarev YS. Infection of Chorthippus loratus (Orthoptera: Acrididae) with Liebermannia sp. (Microsporidia) in South-Western Russia. Journal of Eukaryotic Microbiology. 2019;66:680–3."
,"Loggerhead turtle microsporidium",2018,"Caretta caretta",,,,"skeletal muscle","horizontal","2.8 (fixed)",1.4,"2.87351008048346 (fixed)",,"(New Brunswick) Canada",1,,,,37.38495258,2022-07-10,8.5,"MF373108",,,"Martinson SA, Greenwood SJ, Wadowska D, Martin K. Histopathological, ultrastructural and molecular phylogenetic analysis of a novel microsporidium in a loggerhead sea turtle Caretta caretta. Dis Aquat Org. 2018;129:31–9."
,"Loma acerinae","1930; 1999","Acerina cernua",,,,"gut wall","horizontal",4,2.75,15.83886296,,,1,,,,,,,"AJ252951",,,"1. Glugea acerinae Jirovec, 1930, Arch. Protistenkd., 72, 198, Figs. 1-8, Pls. 15, 16
 2. Lom J, Pekkarinen M. Ultrastructural observations on Loma acerinae (Jirovec, 1930) comb. nov. (Phylum microsporidia). Acta Protozool. 1999;38:61–74."
,"Loma boopsi",1995,"Boops boops",,,,"liver; intestinal epithelium; pyloric caeca","horizontal","3.7 (ovoid spores, fixed and stained); 4.8 (elongate and slightly incurvated spores, fixed and stained)","2.4 (all spore types, fixed and stained)","11.1589371055509 (ovoid spores, fixed and stained); 14.4764589477418 (elongate and slightly incurvated spores, fixed and stained)","ovoid; elongate; slightly incurvated","Senegal",,,,,"98.0176907920015 (ovoid spores, fixed and stained); 128.176980266464 (elongate and slightly incurvated spores, fixed and stained)","12 - 14 (ovoid spores); 16 - 18 (elongate and slightly incurvated spores)","13 (ovoid spores); 17 (elongate and slightly incurvated spores)",,,,"Faye N, Toguebaye BS, Bouix G. On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal. Arch Protistenkd. 1995;146:85–93."
,"Loma branchialis","1911; 1997","Melanogrammus aeglefinus",,,,,,"6.3 (resin-embedded)","3.5 (resin-embedded)","40.4087355067987 (resin-embedded)",,"Canada (Nova Scotia)",,,,,,,,"HQ157465",,,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
,"Loma camerounensis",1992,"Oreochromis niloticus",,,,"oesophagus; intestine (mainly in duodenum); sub-epithelial gut connective tissue","horizontal","3.96 ± 0.07 (fresh)","2.16 ± 0.04 (fresh)","9.67389369182844 (fresh)","oval","Cameroon (Yaounde)",1,,,,"78.0371615151705 (fresh)","11 - 12",11.5,,,,"Fomena A, Coste F, Bouix G. Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon. Parasitol Res. 1992;78:201–8."
,"Loma diplodae","1985; 1997","Diplodus sargus",,,,,,"4.2 (resin-embedded)","2.2 (resin-embedded)","10.6437159103622 (resin-embedded)",,"France",,,,,"120.951317163207 (resin-embedded)","17 - 18",17.5,,,,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
,"Loma embiotocia",1997,"Cymatogaster aggregata",,,"adult","secondary lamellae of gills","horizontal","4.8 (fixed)","2.6 (fixed)","16.9897330706136 (fixed)","ovoid","Canada ( Eagle Bay, Clayoquot Sound, Vancouver Island, British Colombia)",,,,,"130.690254389335 (fixed)","14 - 18",16,"HQ157530",,,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
,"Loma fontinalis","1983; 1997","Savelinus fontinalis",,,,,,"3.7 (resin-embedded)","2.2 (resin-embedded)","9.37660687341434 (resin-embedded)",,"Canada (Nova Scotia)",,,,,"100.216805649514 (resin-embedded)","14 - 15",14.5,,,,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
,"Loma kenti",2010,"Microgadus proximus",,,,"Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney","both","2.97 ± 0.13 um (formalin-fixed paraffinembedded); 2.94 ± 0.11 um (Spurr’s resin-embedded)","1.75 ± 0.27 um (formalin-fixed paraffinembedded); 1.52 ± 0.05 um (Spurr’s resin-embedded)","3.55658447675839 (Spurr’s resin-embedded)","Ovoid","(Vancouver Island) Canada",,,,,"70.673268335156 (Spurr’s resin-embedded)","14.8 ± 0.4 (range 14–16)",14.8,,,,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53."
,"Loma lingcodae",2010,"Ophiodon elongatus",,,,"Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.","both","4.6 (fresh)",2.75,"18.2146924061258 (fresh)","Ovoid","(Vancouver Island) Canada",,,,,129.590697,"15 ± 0.7 (range 14–16)",15,,,,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53."
,"Loma morhua","1981; 1997","Gadus morhua; Melanogrammus aeglefinus",,,,,,"4.2 (stained); 4.3 (resin-embedded)","2 (stained); 2.1 (resin-embedded)","8.79645943005142 (stained)","elongate-ovoid","Canada (Nova Scotia)",1,,,,"106.814150222053 (stained)","16 - 18",17,"GQ121037",,,"1. Morrison, Carol M., and V. Sprague. “Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*.” Journal of Fish Diseases 4, no. 1 (January 1981): 15–32. https://doi.org/10.1111/j.1365-2761.1981.tb01106.x
 2. Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
,"Loma mugili",2000,"Planiliza haematocheila (Mugil soiuy)",,,,"gills","horizontal","3.48 ± 0.41 um","2.18 ± 0.28 um",8.659460858,"elongated oval","Russia; Ukraine",,,,,99.30574378,"14-15",14.5,,,,"1. Ovcharenko NO, Sarabeev VL, Wita I, Czaplinska U. Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy). Vestnik Zoologii. 2000;34:9–15."
